Time,Last,Open,High,Low,Volume,Exchange Rate,CPI,GDP,Interest,Dow Jones,Hang Seng,Gold Price,Oil Price
03/05/2024,"1,222.54","1,225.75","1,218.33","1,221.03",524649967,"25,400.00",0.05,"2,727,565.00",2.924,"38,675.68","18,475.92","2,319.1",78.11
02/05/2024,"1,212.13","1,216.36","1,206.28","1,216.36",467466790,"25,390.00",0.05,"2,727,565.00",2.926,"38,225.66","18,207.13","2,320.0",78.95
02/05/2024,"1,212.13","1,216.36","1,206.28","1,216.36",467466790,"25,390.00",0.05,"2,727,565.00",2.926,"38,225.66","18,207.13","2,320.0",78.95
26/04/2024,"1,199.83","1,216.60","1,198.73","1,209.52",513292300,"25,330.00",0.07,"2,727,565.00",2.900,"38,239.66","17,651.15","2,347.2",83.85
26/04/2024,"1,199.83","1,216.60","1,198.73","1,209.52",513292300,"25,330.00",0.07,"2,727,565.00",2.900,"38,239.66","17,651.15","2,347.2",83.85
25/04/2024,"1,206.25","1,208.41","1,200.21","1,204.97",438347889,"25,350.00",0.07,"2,727,565.00",2.903,"38,085.80","17,284.54","2,342.5",83.57
25/04/2024,"1,206.25","1,208.41","1,200.21","1,204.97",438347889,"25,350.00",0.07,"2,727,565.00",2.903,"38,085.80","17,284.54","2,342.5",83.57
24/04/2024,"1,186.47","1,207.61","1,185.13","1,205.61",628027496,"25,405.00",0.07,"2,727,565.00",2.921,"38,460.92","17,201.27","2,338.4",82.81
24/04/2024,"1,186.47","1,207.61","1,185.13","1,205.61",628027496,"25,405.00",0.07,"2,727,565.00",2.921,"38,460.92","17,201.27","2,338.4",82.81
23/04/2024,"1,190.56","1,192.80","1,169.61","1,177.40",616867057,"25,440.00",0.07,"2,727,565.00",2.910,"38,503.69","16,828.93","2,342.1",83.36
23/04/2024,"1,190.56","1,192.80","1,169.61","1,177.40",616867057,"25,440.00",0.07,"2,727,565.00",2.910,"38,503.69","16,828.93","2,342.1",83.36
22/04/2024,"1,183.77","1,193.88","1,181.13","1,190.22",569603122,"25,455.00",0.07,"2,727,565.00",2.927,"38,239.98","16,511.69","2,346.4",82.85
22/04/2024,"1,183.77","1,193.88","1,181.13","1,190.22",569603122,"25,455.00",0.07,"2,727,565.00",2.927,"38,239.98","16,511.69","2,346.4",82.85
19/04/2024,"1,180.87","1,190.96","1,165.99","1,174.85",951223870,"25,440.00",0.07,"2,727,565.00",2.922,"37,986.40","16,224.14","2,413.8",83.14
19/04/2024,"1,180.87","1,190.96","1,165.99","1,174.85",951223870,"25,440.00",0.07,"2,727,565.00",2.922,"37,986.40","16,224.14","2,413.8",83.14
17/04/2024,"1,221.47","1,221.47","1,193.01","1,193.01",708176858,"25,400.00",0.07,"2,727,565.00",2.923,"37,753.31","16,251.84","2,388.4",82.69
17/04/2024,"1,221.47","1,221.47","1,193.01","1,193.01",708176858,"25,400.00",0.07,"2,727,565.00",2.923,"37,753.31","16,251.84","2,388.4",82.69
16/04/2024,"1,218.64","1,222.45","1,191.73","1,215.68",1143433408,"25,280.00",0.07,"2,727,565.00",2.940,"37,798.97","16,248.97","2,407.8",85.36
16/04/2024,"1,218.64","1,222.45","1,191.73","1,215.68",1143433408,"25,280.00",0.07,"2,727,565.00",2.940,"37,798.97","16,248.97","2,407.8",85.36
15/04/2024,"1,274.02","1,281.81","1,216.61","1,216.61",1236066802,"25,180.00",0.07,"2,727,565.00",2.894,"37,735.11","16,600.46","2,383.0",85.41
15/04/2024,"1,274.02","1,281.81","1,216.61","1,216.61",1236066802,"25,180.00",0.07,"2,727,565.00",2.894,"37,735.11","16,600.46","2,383.0",85.41
12/04/2024,"1,262.96","1,278.39","1,259.50","1,276.60",650322212,"25,015.00",0.07,"2,727,565.00",2.861,"37,983.24","16,721.69","2,374.1",85.66
12/04/2024,"1,262.96","1,278.39","1,259.50","1,276.60",650322212,"25,015.00",0.07,"2,727,565.00",2.861,"37,983.24","16,721.69","2,374.1",85.66
11/04/2024,"1,249.88","1,262.03","1,248.11","1,258.20",592127537,"24,980.00",0.07,"2,727,565.00",2.831,"38,459.08","17,095.03","2,372.7",85.02
11/04/2024,"1,249.88","1,262.03","1,248.11","1,258.20",592127537,"24,980.00",0.07,"2,727,565.00",2.831,"38,459.08","17,095.03","2,372.7",85.02
10/04/2024,"1,266.48","1,268.72","1,258.56","1,258.56",586647926,"24,935.00",0.07,"2,727,565.00",2.809,"38,461.51","17,139.17","2,348.4",86.21
10/04/2024,"1,266.48","1,268.72","1,258.56","1,258.56",586647926,"24,935.00",0.07,"2,727,565.00",2.809,"38,461.51","17,139.17","2,348.4",86.21
09/04/2024,"1,252.40","1,262.82","1,247.70","1,262.82",596807326,"24,945.00",0.07,"2,727,565.00",2.809,"38,883.67","16,828.07","2,362.4",85.23
09/04/2024,"1,252.40","1,262.82","1,247.70","1,262.82",596807326,"24,945.00",0.07,"2,727,565.00",2.809,"38,883.67","16,828.07","2,362.4",85.23
08/04/2024,"1,255.37","1,258.40","1,246.87","1,250.35",733082694,"24,960.00",0.07,"2,727,565.00",2.871,"38,892.80","16,732.85","2,351.0",86.43
08/04/2024,"1,255.37","1,258.40","1,246.87","1,250.35",733082694,"24,960.00",0.07,"2,727,565.00",2.871,"38,892.80","16,732.85","2,351.0",86.43
05/04/2024,"1,258.58","1,265.14","1,253.56","1,255.11",973835575,"24,950.00",0.07,"2,727,565.00",2.883,"38,904.04","16,723.92","2,345.4",86.91
05/04/2024,"1,258.58","1,265.14","1,253.56","1,255.11",973835575,"24,950.00",0.07,"2,727,565.00",2.883,"38,904.04","16,723.92","2,345.4",86.91
04/04/2024,"1,271.87","1,277.62","1,265.12","1,268.25",859418901,"24,935.00",0.07,"2,727,565.00",2.922,"38,596.98","22,858.10","2,308.5",86.59
04/04/2024,"1,271.87","1,277.62","1,265.12","1,268.25",859418901,"24,935.00",0.07,"2,727,565.00",2.922,"38,596.98","22,858.10","2,308.5",86.59
03/04/2024,"1,285.30","1,288.99","1,271.47","1,271.47",947216586,"25,000.00",0.07,"2,727,565.00",2.915,"39,127.14","16,725.10","2,315.0",85.43
03/04/2024,"1,285.30","1,288.99","1,271.47","1,271.47",947216586,"25,000.00",0.07,"2,727,565.00",2.915,"39,127.14","16,725.10","2,315.0",85.43
02/04/2024,"1,276.38","1,287.04","1,268.48","1,287.04",956070829,"24,900.00",0.07,"2,727,565.00",2.879,"39,170.24","16,931.52","2,281.8",85.15
02/04/2024,"1,276.38","1,287.04","1,268.48","1,287.04",956070829,"24,900.00",0.07,"2,727,565.00",2.879,"39,170.24","16,931.52","2,281.8",85.15
01/04/2024,"1,282.37","1,286.80","1,274.09","1,281.52",840172566,"24,795.00",0.07,"2,727,565.00",2.757,"39,566.85","22,858.10","2,257.1",83.71
01/04/2024,"1,282.37","1,286.80","1,274.09","1,281.52",840172566,"24,795.00",0.07,"2,727,565.00",2.757,"39,566.85","22,858.10","2,257.1",83.71
29/03/2024,"1,292.70","1,292.75","1,282.44","1,284.09",735188003,"24,810.00",-0.23,"2,513,091.00",2.747,"19,244.07","22,858.10","1,400.8",72.81
29/03/2024,"1,292.70","1,292.75","1,282.44","1,284.09",735188003,"24,810.00",-0.23,"2,513,091.00",2.747,"19,244.07","22,858.10","1,400.8",72.81
28/03/2024,"1,293.03","1,293.90","1,285.52","1,290.18",823626900,"24,790.00",-0.23,"2,513,091.00",2.678,"39,807.37","16,541.42","2,238.4",83.17
28/03/2024,"1,293.03","1,293.90","1,285.52","1,290.18",823626900,"24,790.00",-0.23,"2,513,091.00",2.678,"39,807.37","16,541.42","2,238.4",83.17
27/03/2024,"1,286.34","1,286.72","1,276.95","1,283.09",754700880,"24,785.00",-0.23,"2,513,091.00",2.683,"39,760.08","16,392.84","2,212.7",81.35
27/03/2024,"1,286.34","1,286.72","1,276.95","1,283.09",754700880,"24,785.00",-0.23,"2,513,091.00",2.683,"39,760.08","16,392.84","2,212.7",81.35
26/03/2024,"1,267.95","1,282.50","1,264.42","1,282.21",813098800,"24,770.00",-0.23,"2,513,091.00",2.663,"39,282.33","16,618.32","2,187.8",81.62
26/03/2024,"1,267.95","1,282.50","1,264.42","1,282.21",813098800,"24,770.00",-0.23,"2,513,091.00",2.663,"39,282.33","16,618.32","2,187.8",81.62
25/03/2024,"1,278.86","1,286.84","1,264.51","1,267.86",1101070678,"24,740.00",-0.23,"2,513,091.00",2.658,"39,313.64","16,473.64","2,186.8",81.95
25/03/2024,"1,278.86","1,286.84","1,264.51","1,267.86",1101070678,"24,740.00",-0.23,"2,513,091.00",2.658,"39,313.64","16,473.64","2,186.8",81.95
22/03/2024,"1,281.56","1,291.27","1,276.38","1,281.80",1111112910,"24,768.00",-0.23,"2,513,091.00",2.636,"39,475.90","16,499.47","2,170.2",80.63
22/03/2024,"1,281.56","1,291.27","1,276.38","1,281.80",1111112910,"24,768.00",-0.23,"2,513,091.00",2.636,"39,475.90","16,499.47","2,170.2",80.63
21/03/2024,"1,269.96","1,276.42","1,264.20","1,276.42",1081588505,"24,785.00",-0.23,"2,513,091.00",2.619,"39,781.37","16,863.10","2,195.0",81.07
