Time,Last,Open,High,Low,Volume,Exchange Rate,CPI,GDP,Interest,Dow Jones,Hang Seng,Gold Price,Oil Price
26/12/2018,183.53,187.76,183.53,185.08,15266958,"23,198.50",-0.25,"1,851,928.00",5.167,"22,878.45","22,858.10","1,273.0",46.22
25/12/2018,188.95,189.00,182.15,186.15,27503362,"23,198.50",-0.25,"1,851,928.00",5.172,"19,244.07","22,858.10","1,400.8",43.16
24/12/2018,192.08,193.98,189.00,189.00,26194522,"23,199.50",-0.25,"1,851,928.00",5.172,"21,792.20","25,651.38","1,271.8",42.53
21/12/2018,191.08,189.25,192.54,192.28,20150803,"23,198.50",-0.25,"1,851,928.00",5.177,"22,445.37","25,753.42","1,258.1",45.59
20/12/2018,189.50,191.84,188.46,190.98,16671245,"23,199.00",-0.25,"1,851,928.00",5.196,"22,859.60","25,623.53","1,267.9",45.88
19/12/2018,189.71,192.70,188.03,189.13,21081690,"23,204.00",-0.25,"1,851,928.00",5.199,"23,323.66","25,865.39","1,256.4",47.20
18/12/2018,191.12,191.31,186.69,189.35,25247326,"23,199.50",-0.25,"1,851,928.00",5.199,"23,675.64","25,814.25","1,253.6",46.24
17/12/2018,194.92,194.92,191.25,191.31,21700660,"23,199.00",-0.25,"1,851,928.00",5.199,"23,592.98","26,087.98","1,251.8",49.88
14/12/2018,195.43,195.95,194.15,194.46,18929043,"23,197.00",-0.25,"1,851,928.00",5.199,"24,100.51","26,094.79","1,241.4",51.20
13/12/2018,196.17,196.94,195.09,195.56,20671936,"23,198.50",-0.25,"1,851,928.00",5.193,"24,597.38","26,524.35","1,247.4",52.58
12/12/2018,192.99,195.71,189.89,195.71,19452127,"23,198.50",-0.25,"1,851,928.00",5.200,"24,527.27","26,186.71","1,250.0",51.15
11/12/2018,191.29,194.40,188.71,192.73,19070500,"23,199.00",-0.25,"1,851,928.00",5.193,"24,370.24","25,771.67","1,247.2",51.65
10/12/2018,194.06,195.06,193.04,193.44,19238295,"23,199.00",-0.25,"1,851,928.00",5.193,"24,423.26","25,752.38","1,249.4",51.00
07/12/2018,193.80,195.71,193.16,194.35,22244447,"23,202.50",-0.25,"1,851,928.00",5.191,"24,388.95","26,063.76","1,252.6",52.61
06/12/2018,195.22,195.48,191.98,193.44,22404618,"23,207.50",-0.25,"1,851,928.00",5.192,"24,947.67","26,156.38","1,243.6",51.49
05/12/2018,194.03,195.43,191.74,194.53,29691704,"23,195.00",-0.25,"1,851,928.00",5.214,"19,244.07","26,819.68","1,242.6",52.89
04/12/2018,193.83,194.74,192.72,193.38,25075416,"23,195.00",-0.25,"1,851,928.00",5.195,"25,027.07","27,260.44","1,246.6",53.25
03/12/2018,189.06,193.83,188.47,193.21,31205157,"23,195.00",-0.25,"1,851,928.00",5.166,"25,826.43","27,182.04","1,239.6",52.95
30/11/2018,185.18,188.94,185.18,188.47,17981100,"23,232.50",-0.29,"1,851,928.00",5.166,"25,538.46","26,506.75","1,226.0",50.93
29/11/2018,187.43,189.43,187.00,187.05,16366900,"23,262.50",-0.29,"1,851,928.00",5.161,"25,338.84","26,451.03","1,230.4",51.45
28/11/2018,184.99,187.48,183.13,187.34,16570385,"23,278.50",-0.29,"1,851,928.00",5.164,"25,366.43","26,682.56","1,227.2",50.29
27/11/2018,186.80,188.76,185.25,185.36,16166686,"23,279.00",-0.29,"1,851,928.00",5.162,"24,748.73","26,331.96","1,217.1",51.56
26/11/2018,188.09,189.07,186.67,186.71,20001192,"23,283.50",-0.29,"1,851,928.00",5.167,"24,640.24","26,376.18","1,226.1",51.63
